Provincia,Denominacion,Localidad,Direccion,Horario_Atencion,Telefono
Buenos Aires,Junta Evaluadora Cnel Suárez, Cnel Suárez,"Oficina de Discapacidad, Garabiladi y Avellaneda,
Edificio Prof. Daniel Parenti, Cnel Suárez",Martes 9:30 hs.,Tel: 02926-429471
Buenos Aires,Junta Evaluadora Cnel Pringles, Cnel Pringles,Av Frondizi y Sarmiento,Miércoles de 8 a 12 hs,T.e. 02922-463803.
Buenos Aires,Junta Evaluadora Monte Hermoso, Monte Hermoso,"Hosp Municipal Dr Ramón Carrillo, 
Calle Pto. Madryn y Dr. Zabala","2º y 4º Martes de c/mes de 13:00 a 15:00 
el 4º a confirmar",02921-481127/481333
Buenos Aires,Junta Evaluadora Puan, Puan,"Hosp Municip Gobernador Ugarte
Juanena s/n 
(la junta fuciona al lado del Htal. en un CPA)",Viernes de 09 a 12:30 hs,"02923-488104/488542
02923-488302"
Buenos Aires,Junta Evaluadora Guaminí, Guaminí,"Oficina de Acción Social de Laguna Alsina 
Calle España s/n","recep. de doc. lunes a viernes de 8 a 12
junta: Miercoles de 9 a 12",(02929) 493 356
Buenos Aires ,Junta Evaluadora Bahía Blanca, Bahía Blanca,Chiclana 451 (Planta Alta),"Atencion al publico: Lunes a Viernes de 8 a 13 hs
Juntas: Martes 15 a 18:30 hs.
Miercoles de 9 a 15 hs
Viernes de de 13 a 16 hs","0800-222-8554, 
0291-4527562, 
0291-4530422,
0291-5506020"
Buenos Aires ,Junta Evaluadora Villarino, Villarino,"funcionan dos juntas en diferentes lugares:
Zona Norte - Médanos - Moreno 41
Zona Sur - Pedro Luro - Hosp Pradere, 
calle 26Nº 81 (Pedro Luro)","Zona Norte: Todos los Lunes  8 a 13 hs.
Zona Sur: Todos los Jueves de 8 a 13 hs.","Tel de las dos: 
02927-432945 (Int 105)"
Buenos Aires ,Junta Evaluadora Pigüé (Saavedra), Pigüé (Saavedra),"Hosp y Maternidad Municip de Pigüé 
Calle Liniers 46",Jueves cada 15 dias 8:30 a 11 hs,Tel: 02923-476006
Buenos Aires ,Junta Evaluadora Tornquist, Tornquist,CAPS Sala Dr. Dante Berrettini - Filiberto 450,Miércoles de 12 a 17,0291-4940812 / 798
Buenos Aires ,Junta Evaluadora Carhué/ Adolfo Alsina, Carhué/ Adolfo Alsina,"Hospital Gral Jose de San Martin 
Avellaneda y A. Alsina","Lunes, Martes y Viernes de 14:00 a 16:30 hs
Jueves 8:30 a 11:30","Tel: 02936-432222 /
412843"
